,Rank,Name,Height,Circumference,Diameter,BoleVolume
0,1,GnralShrman,274.9,102.6,32.7,52508
1,2,GnralGran,268.1,107.5,34.2,46608
2,3,Prsdn,240.9,93.0,29.6,45148
3,4,Lnoln,255.8,98.3,31.3,44471
4,5,Sagg,243.0,109.0,34.7,42557
5,6,Bool,268.8,113.0,36,42472
6,7,Gnss,253.0,85.3,27.2,41897
7,8,Frankln,223.8,94.8,30.2,41280
8,9,KngArhr,270.3,104.2,33.2,40656
9,10,Monro,247.8,91.3,29.1,40104
10,11,RorE.L,254.7,88.3,28.1,40102
11,12,JohnAdams,250.6,83.3,26.5,38956
12,13,IshGan,248.1,105.1,33.5,38156
13,14,Colmn,243.8,93.0,29.6,37295
14,15,SmmRoad,244.0,82.2,26.2,36600
15,16,Eld,272.7,83.4,26.5,36122
16,17,Washngon,236.0,95.7,30.5,35901
17,18,GnralPrshng,246.0,91.2,29,35855
18,19,Damond,286.0,95.3,30.3,35292
19,20,Adam,247.4,94.2,30,35017
20,21,Roosvl,260.0,80.0,25.5,35013
21,22,Nldr,266.2,90.0,28.6,34993
22,23,AD,242.4,99.0,31.5,34706
23,24,Har,277.9,75.3,24,34407
24,25,GrzzlyGan,209.0,92.5,29.4,34005
25,26,ChSqoyah,228.2,90.4,28.8,33608
26,27,Mhslah,207.8,95.8,30.5,32897
27,28,GraGoshawk,255.2,90.2,28.7,32783
28,29,Hamlon,238.5,82.6,26.3,32783
29,30,Dan,235.9,96.4,30.7,32333
30,31,BlakMonanBay,263.0,76.0,24.2,32224
31,32,PaksaddlGan,219.0,106.4,33.9,32156
32,33,AllnRssll,254.1,80.2,25.5,31650
33,34,Clvland,251.0,80.2,25.5,31336
34,35,Dalon,274.5,76.1,24.2,31065
35,36,LosAgassz,262.0,98.0,31.2,30580
36,37,NarEd,251.0,79.5,25.3,30333
37,38,Evans,232.4,77.5,24.7,30232
38,39,ThrFngrdJak,240.0,82.5,26.3,30118
39,40,Pararh,176.5,72.6,23.1,30020
40,41,RdCh,245.0,80.6,25.7,28723
41,42,ThSnnl,257.6,79.0,25.1,27900
42,43,BllBk,246.1,99.1,31.5,27383
43,44,NarGlss,252.1,75.6,24.1,26737
44,45,GlssGolah,275.1,68.0,21.6,26564
45,46,Candlara,205.5,,,26341
46,47,Bannsr,195.0,103.5,32.9,26100
47,48,Ghos,180.6,95.0,30.2,25047
